Campaign name,Ad set name,Ad name,Age,Gender,Delivery status,Delivery level,Objective,Amount spent (INR),Ad set name,Impressions,Reach,Result Type,Results,Clicks (all),Link clicks,Landing page views,Frequency,CTR (link click-through rate),CTR (all),CPC (all),Cost per result,Messaging conversations started,Quality ranking,Engagement rate ranking,Conversion rate ranking,URL parameters,Reporting starts,Reporting ends
Instagram post: Valentines is gone! Swipe in for...,Instagram Post,Instagram post: Valentines is gone! Swipe in for...,25-34,male,not_delivering,ad,LINK_CLICKS,246.96,Instagram Post,9784,9312,Link clicks,37,37,37,,1.05068729,0.37816844,0.37816844,6.6746729,6.67,,-,-,-,,2022-09-25,2024-09-13
"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",Instagram Post,"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",35-44,male,not_delivering,ad,MESSAGES,237.29,Instagram Post,3155,2016,,,12,3,,1.56498016,0.09508716,0.38034865,19.77422661,,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - 10 June - Kalyani Nagar,Brand Awareness - 10 June - Kalyani Nagar,Kalyani Nagar Video - 10 June,35-44,female,not_delivering,ad,OUTCOME_AWARENESS,235.29,Brand Awareness - 10 June - Kalyani Nagar,61162,50430,Reach,50430,46,16,,1.21280984,0.02616003,0.0752101,5.11499738,4.67,,-,-,-,,2022-09-25,2024-09-13
"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",Instagram Post,"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",35-44,female,not_delivering,ad,MESSAGES,230.76,Instagram Post,1809,1392,,,6,2,,1.29956897,0.11055832,0.33167496,38.46020831,,,-,-,-,,2022-09-25,2024-09-13
Kalyani Nagar - Vibe Video - A/B Test,Kalyani Nagar - Remarketing,Kalyani Nagar - Remarketing,25-34,female,not_delivering,ad,OUTCOME_AWARENESS,229.50,Kalyani Nagar - Remarketing,4212,3622,Reach,3622,38,10,,1.16289343,0.2374169,0.90218424,6.03954922,63.36,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - 10 June - Balewadi,Brand Awareness - 10 June - Balewadi,Balewadi Video - 10 June,35-44,female,not_delivering,ad,OUTCOME_AWARENESS,228.46,Brand Awareness - 10 June - Balewadi,59539,50430,Reach,50430,43,17,,1.18062661,0.02855271,0.07222157,5.31303428,4.53,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - 10 June - Versova,Brand Awareness - 10 June - Versova,Versova Video - 10 June,45-54,female,not_delivering,ad,OUTCOME_AWARENESS,228.02,Brand Awareness - 10 June - Versova,13288,7871,Reach,7871,22,7,,1.68822259,0.05267911,0.16556291,10.36441047,28.97,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - 10 June - Kalyani Nagar,Brand Awareness - 10 June - Kalyani Nagar,Kalyani Nagar Video - 10 June,45-54,male,not_delivering,ad,OUTCOME_AWARENESS,226.55,Brand Awareness - 10 June - Kalyani Nagar,60111,47614,Reach,47614,41,14,,1.26246482,0.02329025,0.06820715,5.52561599,4.76,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - 10 June - Balewadi,Brand Awareness - 10 June - Balewadi,Balewadi Video - 10 June,45-54,male,not_delivering,ad,OUTCOME_AWARENESS,223.93,Brand Awareness - 10 June - Balewadi,59157,43518,Reach,43518,46,15,,1.35936854,0.02535626,0.07775918,4.86805789,5.15,,-,-,-,,2022-09-25,2024-09-13
Kalyani Nagar - Vibe Video - A/B Test,Kalyani Nagar - Awareness Ad,New Awareness ad,18-24,female,not_delivering,ad,OUTCOME_AWARENESS,223.89,Kalyani Nagar - Awareness Ad,76087,71743,Reach,71743,65,21,,1.06054946,0.02759998,0.08542852,3.44439377,3.12,,-,-,-,,2022-09-25,2024-09-13
"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",Instagram Post,"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",35-44,male,not_delivering,ad,MESSAGES,214.09,Instagram Post,4484,3871,,,21,7,,1.15835701,0.15611062,0.46833185,10.19499643,,,-,-,-,,2022-09-25,2024-09-13
SIMRAN COLLECTIVE Event - 13 May,SIMRAN COLLECTIVE Event - 13 May,SIMRAN COLLECTIVE Event - 13 May,25-34,male,not_delivering,ad,OUTCOME_ENGAGEMENT,205.66,SIMRAN COLLECTIVE Event - 13 May,3502,2988,Post engagements,888,20,10,,1.17202142,0.28555111,0.57110223,10.283,0.23,,-,-,-,,2022-09-25,2024-09-13
Kalyani Nagar - Vibe Video - A/B Test,Kalyani Nagar - Remarketing,Kalyani Nagar - Remarketing,18-24,male,not_delivering,ad,OUTCOME_AWARENESS,202.95,Kalyani Nagar - Remarketing,8684,8244,Reach,8244,62,10,,1.05337215,0.11515431,0.7139567,3.27334807,24.62,,-,-,-,,2022-09-25,2024-09-13
Instagram post: Valentines is gone! Swipe in for...,Instagram Post,Instagram post: Valentines is gone! Swipe in for...,18-24,male,not_delivering,ad,LINK_CLICKS,188.20,Instagram Post,12064,11496,Link clicks,50,51,50,,1.04940849,0.41445623,0.42274536,3.69028602,3.76,,-,-,-,,2022-09-25,2024-09-13
IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,18-24,female,not_delivering,ad,OUTCOME_ENGAGEMENT,187.56,IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,19944,17532,ThruPlay,1131,35,,,1.137577,,0.17549138,5.35883159,0.17,,-,-,-,,2022-09-25,2024-09-13
Brand Awarness Ad_Varsova,Brand Awarness Ad_varsova,Varsova Vibe Video,35-44,male,not_delivering,ad,OUTCOME_AWARENESS,186.60,Brand Awarness Ad_varsova,63790,42751,Reach,42751,42,11,,1.49212884,0.01724408,0.06584104,4.44281266,4.36,,-,-,-,,2022-09-25,2024-09-13
Instagram post: Break that ice with a clink and a...,Instagram Post,Instagram post: Break that ice with a clink and a...,18-24,female,not_delivering,ad,LINK_CLICKS,185.91,Instagram Post,13560,10143,Link clicks,39,38,39,,1.33688258,0.28761062,0.28023599,4.89233265,4.77,,-,-,-,,2022-09-25,2024-09-13
Instagram post: It’s PJs’ Pizzas’ and ‘Crafty...,Instagram Post,Instagram post: It’s PJs’ Pizzas’ and ‘Crafty...,25-34,female,not_delivering,ad,LINK_CLICKS,177.61,Instagram Post,5799,4887,Link clicks,25,26,25,,1.18661756,0.43110881,0.44835316,6.8311431,7.10,,-,-,-,,2022-09-25,2024-09-13
IBC-Engagement-Reel-Video Views-Remarketing-Pune+Mumbai-August 2024,IBC-Engagement-Reel-Video Views-Remarketing-Pune+Mumbai-August 2024,IBC-Engagement-Reel-Video Views-Remarketing-Pune+Mumbai-August 2024,35-44,female,not_delivering,ad,OUTCOME_ENGAGEMENT,176.78,IBC-Engagement-Reel-Video Views-Remarketing-Pune+Mumbai-August 2024,4849,1176,ThruPlay,271,15,,,4.12329932,,0.30934213,11.78508473,0.65,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - Powai Vibe,Brand Awareness - Powai Vibe,Powai Vibe Video,45-54,female,not_delivering,ad,OUTCOME_AWARENESS,175.40,Brand Awareness - Powai Vibe,49345,39423,Reach,39423,30,8,,1.25168049,0.01621238,0.06079643,5.84653922,4.45,,-,-,-,,2022-09-25,2024-09-13
Instagram post: Break that ice with a clink and a...,Instagram Post,Instagram post: Break that ice with a clink and a...,25-34,female,not_delivering,ad,LINK_CLICKS,168.89,Instagram Post,8386,6351,Link clicks,18,17,18,,1.32042198,0.21464345,0.20271882,9.93474093,9.38,,-,-,-,,2022-09-25,2024-09-13
IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,45-54,female,not_delivering,ad,OUTCOME_ENGAGEMENT,168.76,IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,4456,4223,ThruPlay,1152,4,,,1.05517405,,0.08976661,42.19105139,0.15,,-,-,-,,2022-09-25,2024-09-13
Instagram post: It’s PJs’ Pizzas’ and ‘Crafty...,Instagram Post,Instagram post: It’s PJs’ Pizzas’ and ‘Crafty...,18-24,female,not_delivering,ad,LINK_CLICKS,162.15,Instagram Post,8771,7519,Link clicks,26,26,26,,1.1665115,0.29643142,0.29643142,6.23647885,6.24,,-,-,-,,2022-09-25,2024-09-13
IBC-Lover Boy- Engagement- Post Likes-Pune+Mumbai,IBC-Lover Boy- Engagement- Post Likes-Pune+Mumbai,IBC-Lover Boy- Engagement- Post Likes-Pune+Mumbai,45-54,male,not_delivering,ad,OUTCOME_ENGAGEMENT,160.31,IBC-Lover Boy- Engagement- Post Likes-Pune+Mumbai,3692,2703,Post engagements,597,42,,,1.36588975,,1.1375948,3.81683565,0.27,,-,-,-,,2022-09-25,2024-09-13
IBC-Lover Boy- Engagement- Post Likes-Pune+Mumbai,IBC-Lover Boy- Engagement- Post Likes-Pune+Mumbai,IBC-Lover Boy- Engagement- Post Likes-Pune+Mumbai,35-44,female,not_delivering,ad,OUTCOME_ENGAGEMENT,151.94,IBC-Lover Boy- Engagement- Post Likes-Pune+Mumbai,3395,3087,Post engagements,549,17,,,1.09977324,,0.50073638,8.93763874,0.28,,-,-,-,,2022-09-25,2024-09-13
Brand Awarness Ad_Kalyani Nagar,Brand Awarness Ad_Kalyani Nagar,Kalyani Nagar Vibe Video,35-44,male,not_delivering,ad,OUTCOME_AWARENESS,143.52,Brand Awarness Ad_Kalyani Nagar,48058,39807,Reach,39807,31,8,,1.2072751,0.01664655,0.06450539,4.62952803,3.61,,-,-,-,,2022-09-25,2024-09-13
Instagram post: It’s PJs’ Pizzas’ and ‘Crafty...,Instagram Post,Instagram post: It’s PJs’ Pizzas’ and ‘Crafty...,35-44,male,not_delivering,ad,LINK_CLICKS,141.23,Instagram Post,3201,2752,Link clicks,13,13,13,,1.16315407,0.40612309,0.40612309,10.8638662,10.86,,-,-,-,,2022-09-25,2024-09-13
Kalyani Nagar - Vibe Video - A/B Test,Kalyani Nagar - Remarketing,Kalyani Nagar - Remarketing,18-24,female,not_delivering,ad,OUTCOME_AWARENESS,138.34,Kalyani Nagar - Remarketing,4260,4006,Reach,4006,30,4,,1.06340489,0.09389671,0.70422535,4.61144556,34.53,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - Balewadi Vibe,Brand Awareness - Balewadi Vibe,Balewadi Vibe Video,35-44,male,not_delivering,ad,OUTCOME_AWARENESS,134.11,Brand Awareness - Balewadi Vibe,40400,34175,Reach,34175,23,3,,1.18215069,0.00742574,0.05693069,5.8310746,3.92,,-,-,-,,2022-09-25,2024-09-13
"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",Instagram Post,"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",18-24,female,not_delivering,ad,MESSAGES,130.68,Instagram Post,2904,1936,,,9,4,,1.5,0.13774105,0.30991736,14.51993132,,,-,-,-,,2022-09-25,2024-09-13
DJ SIARAA - 3 May Event,New Engagement ad set,New Engagement ad,25-34,male,not_delivering,ad,OUTCOME_ENGAGEMENT,129.84,New Engagement ad set,2289,2147,Post engagements,413,21,7,,1.0661388,0.3058104,0.91743119,6.18285714,0.31,,-,-,-,,2022-09-25,2024-09-13
IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,25-34,female,not_delivering,ad,OUTCOME_ENGAGEMENT,129.27,IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,13836,12541,ThruPlay,810,15,,,1.1032613,,0.10841284,8.61832807,0.16,,-,-,-,,2022-09-25,2024-09-13
"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",Instagram Post,"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",18-24,female,not_delivering,ad,MESSAGES,128.08,Instagram Post,3117,2695,Messaging conversations started,1,13,2,,1.15658627,0.06416426,0.41706769,9.85255448,128.08,1,-,-,-,,2022-09-25,2024-09-13
Instant History Event - 9 May,Instant History Event - 9 May,Instant History Event - 9 May,25-34,female,not_delivering,ad,OUTCOME_ENGAGEMENT,127.70,Instant History Event - 9 May,1794,1532,Post engagements,264,8,4,,1.17101828,0.22296544,0.44593088,15.9625,0.48,,-,-,-,,2022-09-25,2024-09-13
IBC - T20 World Cup - Video Awareness- Pune+Mumbai,IBC - T20 World Cup - Video Awareness- Pune+Mumbai,IBC - T20 World Cup - Video Awareness- Pune+Mumbai,35-44,female,not_delivering,ad,OUTCOME_AWARENESS,121.96,IBC - T20 World Cup - Video Awareness- Pune+Mumbai,29054,29054,Reach,29054,25,5,,1,0.01720933,0.08604667,4.87822243,4.20,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - 10 June - Kalyani Nagar,Brand Awareness - 10 June - Kalyani Nagar,Kalyani Nagar Video - 10 June,45-54,female,not_delivering,ad,OUTCOME_AWARENESS,121.68,Brand Awareness - 10 June - Kalyani Nagar,31846,20479,Reach,20479,22,4,,1.5550564,0.01256045,0.06908246,5.53112573,5.94,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - 10 June - Balewadi,Brand Awareness - 10 June - Balewadi,Balewadi Video - 10 June,45-54,female,not_delivering,ad,OUTCOME_AWARENESS,118.51,Brand Awareness - 10 June - Balewadi,31468,22783,Reach,22783,25,11,,1.38120528,0.03495615,0.07944579,4.74020235,5.20,,-,-,-,,2022-09-25,2024-09-13
IBC-Engagement-Reel-Video Views-Remarketing-Pune+Mumbai-August 2024,IBC-Engagement-Reel-Video Views-Remarketing-Pune+Mumbai-August 2024,IBC-Engagement-Reel-Video Views-Remarketing-Pune+Mumbai-August 2024,45-54,male,not_delivering,ad,OUTCOME_ENGAGEMENT,118.37,IBC-Engagement-Reel-Video Views-Remarketing-Pune+Mumbai-August 2024,4050,912,ThruPlay,191,12,,,4.44078947,,0.2962963,9.8645018,0.62,,-,-,-,,2022-09-25,2024-09-13
Instagram post: Love is a four legged word💕🐶💘...,Instagram Post,Instagram post: Love is a four legged word💕🐶💘...,18-24,male,not_delivering,ad,LINK_CLICKS,117.72,Instagram Post,8782,8455,Link clicks,32,31,32,,1.03867534,0.36438169,0.35299476,3.79750109,3.68,,-,-,-,,2022-09-25,2024-09-13
Aisha & Co Event - Kalyani Nagar,Aisha & Co Event - Kalyani Nagar,Aisha & Co Event - Kalyani Nagar,25-34,male,not_delivering,ad,OUTCOME_AWARENESS,115.88,Aisha & Co Event - Kalyani Nagar,35819,34446,Reach,34446,22,10,,1.03985949,0.02791814,0.06141992,5.2670687,3.36,,-,-,-,,2022-09-25,2024-09-13
Instant History Event - 9 May,Instant History Event - 9 May,Instant History Event - 9 May,35-44,male,not_delivering,ad,OUTCOME_ENGAGEMENT,113.06,Instant History Event - 9 May,1767,1492,Post engagements,287,22,2,,1.18431635,0.11318619,1.2450481,5.13909091,0.39,,-,-,-,,2022-09-25,2024-09-13
IBC - T20 World Cup - Video Awareness- Pune+Mumbai,IBC - T20 World Cup - Video Awareness- Pune+Mumbai,IBC - T20 World Cup - Video Awareness- Pune+Mumbai,45-54,male,not_delivering,ad,OUTCOME_AWARENESS,110.49,IBC - T20 World Cup - Video Awareness- Pune+Mumbai,26332,23551,Reach,23551,23,8,,1.11808416,0.03038129,0.08734619,4.80373818,4.69,,-,-,-,,2022-09-25,2024-09-13
Instagram post: Break that ice with a clink and a...,Instagram Post,Instagram post: Break that ice with a clink and a...,35-44,male,not_delivering,ad,LINK_CLICKS,108.40,Instagram Post,4308,3472,Link clicks,10,10,10,,1.24078341,0.23212628,0.23212628,10.8397546,10.84,,-,-,-,,2022-09-25,2024-09-13
IBC-Engagement-DORADO-Pune+MUMBAI-August 2024,IBC-Engagement-DORADO-Pune+MUMBAI-August 2024,IBC-Engagement-DORADO-Pune+MUMBAI-August 2024,45-54,male,not_delivering,ad,OUTCOME_ENGAGEMENT,107.78,IBC-Engagement-DORADO-Pune+MUMBAI-August 2024,2360,1728,Post engagements,459,10,,,1.36574074,,0.42372881,10.77828393,0.23,,-,-,-,,2022-09-25,2024-09-13
Kalyani Nagar - Vibe Video - A/B Test,Kalyani Nagar - Remarketing,Kalyani Nagar - Remarketing,35-44,male,not_delivering,ad,OUTCOME_AWARENESS,107.09,Kalyani Nagar - Remarketing,2197,1991,Reach,1991,21,4,,1.1034656,0.18206645,0.95584888,5.09955613,53.79,,-,-,-,,2022-09-25,2024-09-13
IBC-Engagement- Remarketing-Pune+Mumbai-August 2024,IBC-Engagement- Remarketing-Pune+Mumbai-August 2024,IBC-Engagement- Remarketing-Pune+Mumbai-August 2024,45-54,male,active,ad,OUTCOME_ENGAGEMENT,106.09,IBC-Engagement- Remarketing-Pune+Mumbai-August 2024,4302,2954,Post engagements,807,10,,,1.4563304,,0.23245002,10.60927066,0.13,,-,-,-,,2022-09-25,2024-09-13
"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",Instagram Post,"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",35-44,female,not_delivering,ad,MESSAGES,101.34,Instagram Post,1366,1024,,,3,1,,1.33398438,0.07320644,0.21961933,33.78044304,,,-,-,-,,2022-09-25,2024-09-13
Brand Awarness Ad_Varsova,Brand Awarness Ad_varsova,Varsova Vibe Video,45-54,male,not_delivering,ad,OUTCOME_AWARENESS,96.92,Brand Awarness Ad_varsova,33631,21760,Reach,21760,26,9,,1.54554228,0.02676102,0.07730963,3.72765499,4.45,,-,-,-,,2022-09-25,2024-09-13
IBC-Engagement- Remarketing-Pune+Mumbai-August 2024,IBC-Engagement- Remarketing-Pune+Mumbai-August 2024,IBC-Engagement- Remarketing-Pune+Mumbai-August 2024,35-44,female,active,ad,OUTCOME_ENGAGEMENT,92.71,IBC-Engagement- Remarketing-Pune+Mumbai-August 2024,4815,3403,Post engagements,710,7,,,1.414928,,0.14537902,13.24440454,0.13,,-,-,-,,2022-09-25,2024-09-13
Brand Awarness Ad_Varsova,Brand Awarness Ad_varsova,Varsova Vibe Video,35-44,female,not_delivering,ad,OUTCOME_AWARENESS,92.41,Brand Awarness Ad_varsova,31472,20992,Reach,20992,9,1,,1.4992378,0.00317743,0.02859685,10.26767498,4.40,,-,-,-,,2022-09-25,2024-09-13
IBC-International Beer Day- Engagement-Pune+Mumbai-August 2024,IBC-International Beer Day- Engagement-Pune+Mumbai-August 2024,IBC-International Beer Day- Engagement-Pune+Mumbai-August 2024,45-54,male,not_delivering,ad,OUTCOME_ENGAGEMENT,92.13,IBC-International Beer Day- Engagement-Pune+Mumbai-August 2024,2681,2655,Post engagements,261,99,2,,1.00979284,0.07459903,3.692652,0.93057408,0.35,,-,-,-,,2022-09-25,2024-09-13
IBC-International Beer Day- Engagement-Pune+Mumbai-August 2024,IBC-International Beer Day- Engagement-Pune+Mumbai-August 2024,IBC-International Beer Day- Engagement-Pune+Mumbai-August 2024,35-44,female,not_delivering,ad,OUTCOME_ENGAGEMENT,90.04,IBC-International Beer Day- Engagement-Pune+Mumbai-August 2024,2361,2143,Post engagements,207,65,1,,1.10172655,0.04235493,2.75307073,1.38519364,0.43,,-,-,-,,2022-09-25,2024-09-13
Instagram post: It’s PJs’ Pizzas’ and ‘Crafty...,Instagram Post,Instagram post: It’s PJs’ Pizzas’ and ‘Crafty...,35-44,female,not_delivering,ad,LINK_CLICKS,89.65,Instagram Post,2087,1872,Link clicks,13,13,13,,1.11485043,0.62290369,0.62290369,6.89610642,6.90,,-,-,-,,2022-09-25,2024-09-13
Instagram post: Love is a four legged word💕🐶💘...,Instagram Post,Instagram post: Love is a four legged word💕🐶💘...,25-34,male,not_delivering,ad,LINK_CLICKS,86.57,Instagram Post,4654,4420,Link clicks,22,22,22,,1.05294118,0.47271165,0.47271165,3.93520497,3.94,,-,-,-,,2022-09-25,2024-09-13
IBC-Engagement-DORADO-Pune+MUMBAI-August 2024,IBC-Engagement-DORADO-Pune+MUMBAI-August 2024,IBC-Engagement-DORADO-Pune+MUMBAI-August 2024,35-44,female,not_delivering,ad,OUTCOME_ENGAGEMENT,82.97,IBC-Engagement-DORADO-Pune+MUMBAI-August 2024,1596,1104,Post engagements,351,5,,,1.44565217,,0.31328321,16.5948975,0.24,,-,-,-,,2022-09-25,2024-09-13
Kalyani Nagar - Vibe Video - A/B Test,Kalyani Nagar - Awareness Ad,New Awareness ad,25-34,female,not_delivering,ad,OUTCOME_AWARENESS,80.77,Kalyani Nagar - Awareness Ad,27150,25792,Reach,25792,16,7,,1.05265199,0.02578269,0.05893186,5.04842518,3.13,,-,-,-,,2022-09-25,2024-09-13
Instagram post: Valentines is gone! Swipe in for...,Instagram Post,Instagram post: Valentines is gone! Swipe in for...,25-34,female,not_delivering,ad,LINK_CLICKS,79.41,Instagram Post,3156,3032,Link clicks,15,15,15,,1.0408971,0.47528517,0.47528517,5.29384774,5.29,,-,-,-,,2022-09-25,2024-09-13
IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,35-44,female,not_delivering,ad,OUTCOME_ENGAGEMENT,78.65,IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,5588,3967,ThruPlay,508,10,,,1.40862112,,0.1789549,7.86486586,0.15,,-,-,-,,2022-09-25,2024-09-13
Brand Awarness Ad_Kalyani Nagar,Brand Awarness Ad_Kalyani Nagar,Kalyani Nagar Vibe Video,35-44,female,not_delivering,ad,OUTCOME_AWARENESS,77.61,Brand Awarness Ad_Kalyani Nagar,25427,19967,Reach,19967,15,4,,1.27345119,0.01573131,0.05899241,5.17383304,3.89,,-,-,-,,2022-09-25,2024-09-13
"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",Instagram Post,"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",45-54,female,not_delivering,ad,MESSAGES,76.74,Instagram Post,581,432,,,2,,,1.34490741,,0.34423408,38.37188215,,,-,-,-,,2022-09-25,2024-09-13
Brand Awarness Ad_Varsova,Brand Awarness Ad_varsova,Varsova Vibe Video,45-54,female,not_delivering,ad,OUTCOME_AWARENESS,74.64,Brand Awarness Ad_varsova,25340,12800,Reach,12800,16,3,,1.9796875,0.01183899,0.06314128,4.6649533,5.83,,-,-,-,,2022-09-25,2024-09-13
Instagram post: Valentines is gone! Swipe in for...,Instagram Post,Instagram post: Valentines is gone! Swipe in for...,35-44,male,not_delivering,ad,LINK_CLICKS,74.57,Instagram Post,2446,2128,Link clicks,11,11,11,,1.14943609,0.44971382,0.44971382,6.77889594,6.78,,-,-,-,,2022-09-25,2024-09-13
Instagram post: Slip into your coziest PJs and...,Instagram Post,Instagram post: Slip into your coziest PJs and...,18-24,male,not_delivering,ad,LINK_CLICKS,73.24,Instagram Post,4551,4087,Link clicks,14,14,14,,1.11353071,0.3076247,0.3076247,5.23134552,5.23,,-,-,-,,2022-09-25,2024-09-13
Instagram post: Break that ice with a clink and a...,Instagram Post,Instagram post: Break that ice with a clink and a...,35-44,female,not_delivering,ad,LINK_CLICKS,69.82,Instagram Post,2778,1872,Link clicks,13,13,13,,1.48397436,0.46796256,0.46796256,5.37092138,5.37,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - Balewadi Vibe,Brand Awareness - Balewadi Vibe,Balewadi Vibe Video,35-44,female,not_delivering,ad,OUTCOME_AWARENESS,68.71,Brand Awareness - Balewadi Vibe,20997,18559,Reach,18559,13,4,,1.13136484,0.01905034,0.06191361,5.28517637,3.70,,-,-,-,,2022-09-25,2024-09-13
IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,55-64,male,not_delivering,ad,OUTCOME_ENGAGEMENT,68.23,IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,1650,1408,ThruPlay,465,4,,,1.171875,,0.24242424,17.05787132,0.15,,-,-,-,,2022-09-25,2024-09-13
Instagram post: Slip into your coziest PJs and...,Instagram Post,Instagram post: Slip into your coziest PJs and...,25-34,male,not_delivering,ad,LINK_CLICKS,67.86,Instagram Post,3086,3086,Link clicks,6,5,6,,1,0.19442644,0.16202203,13.57193142,11.31,,-,-,-,,2022-09-25,2024-09-13
Kalyani Nagar - Vibe Video - A/B Test,Kalyani Nagar - Awareness Ad,New Awareness ad,35-44,male,not_delivering,ad,OUTCOME_AWARENESS,67.22,Kalyani Nagar - Awareness Ad,22498,20608,Reach,20608,8,4,,1.09171196,0.01777936,0.03555872,8.40195941,3.26,,-,-,-,,2022-09-25,2024-09-13
Brand Awarness Ad_Kalyani Nagar,Brand Awarness Ad_Kalyani Nagar,Kalyani Nagar Vibe Video,45-54,male,not_delivering,ad,OUTCOME_AWARENESS,66.09,Brand Awarness Ad_Kalyani Nagar,22168,16000,Reach,16000,12,4,,1.3855,0.01804403,0.05413208,5.50732228,4.13,,-,-,-,,2022-09-25,2024-09-13
Instagram post: Valentines is gone! Swipe in for...,Instagram Post,Instagram post: Valentines is gone! Swipe in for...,18-24,female,not_delivering,ad,LINK_CLICKS,65.64,Instagram Post,4148,4040,Link clicks,13,13,13,,1.02673267,0.31340405,0.31340405,5.04908555,5.05,,-,-,-,,2022-09-25,2024-09-13
"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",Instagram Post,"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",45-54,male,not_delivering,ad,MESSAGES,62.38,Instagram Post,1045,632,,,2,2,,1.65348101,0.19138756,0.19138756,31.1924655,,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - 10 June - Versova,Brand Awareness - 10 June - Versova,Versova Video - 10 June,55-64,female,not_delivering,ad,OUTCOME_AWARENESS,62.32,Brand Awareness - 10 June - Versova,3261,2048,Reach,2048,6,,,1.59228516,,0.18399264,10.38683147,30.43,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - 10 June - Versova,Brand Awareness - 10 June - Versova,Versova Video - 10 June,55-64,male,not_delivering,ad,OUTCOME_AWARENESS,58.85,Brand Awareness - 10 June - Versova,3340,2752,Reach,2752,6,2,,1.21366279,0.05988024,0.17964072,9.80858175,21.38,,-,-,-,,2022-09-25,2024-09-13
IBC - T20 World Cup - Video Awareness- Pune+Mumbai,IBC - T20 World Cup - Video Awareness- Pune+Mumbai,IBC - T20 World Cup - Video Awareness- Pune+Mumbai,45-54,female,not_delivering,ad,OUTCOME_AWARENESS,57.86,IBC - T20 World Cup - Video Awareness- Pune+Mumbai,13891,12288,Reach,12288,15,4,,1.13045247,0.02879562,0.10798359,3.85719293,4.71,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - Balewadi Vibe,Brand Awareness - Balewadi Vibe,Balewadi Vibe Video,45-54,male,not_delivering,ad,OUTCOME_AWARENESS,56.15,Brand Awareness - Balewadi Vibe,16944,16944,Reach,16944,9,4,,1,0.02360718,0.05311615,6.23864308,3.31,,-,-,-,,2022-09-25,2024-09-13
Kalyani Nagar - Vibe Video - A/B Test,Kalyani Nagar - Remarketing,Kalyani Nagar - Remarketing,35-44,female,not_delivering,ad,OUTCOME_AWARENESS,54.65,Kalyani Nagar - Remarketing,856,800,Reach,800,8,2,,1.07,0.23364486,0.93457944,6.83121595,68.31,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - 10 June - Balewadi,Brand Awareness - 10 June - Balewadi,Balewadi Video - 10 June,55-64,male,not_delivering,ad,OUTCOME_AWARENESS,53.53,Brand Awareness - 10 June - Balewadi,14291,12032,Reach,12032,9,5,,1.18774934,0.03498705,0.0629767,5.94752979,4.45,,-,-,-,,2022-09-25,2024-09-13
